Dataset,Model,NoiseLevel,Accuracy
Vehicle,BinaryNet,0.36,69.1949
Satellite,PBNN,0.4,83.496
Spambase,PBNN,0.4,80.2944
Yeast,PBNN,0.4,76.5232
Iris,PBNN,0.4,86.5856
Diabetes,PBNN,0.4,78.3415
Vehicle,PBNN,0.4,80.674
Satellite,FP32,0.4,72.3252
Spambase,FP32,0.4,70.1292
Yeast,FP32,0.4,66.7487
Iris,FP32,0.4,77.1803
Diabetes,FP32,0.4,69.7861
Vehicle,FP32,0.4,71.272
Satellite,BinaryNet,0.4,68.0848
Spambase,BinaryNet,0.4,64.698
Yeast,BinaryNet,0.4,61.6852
Iris,BinaryNet,0.4,70.9691
Diabetes,BinaryNet,0.4,64.5582
Vehicle,BinaryNet,0.4,65.9382
