Dataset,Model,NoiseLevel,Accuracy
Spambase,PBNN,0.2,85.4393
Yeast,PBNN,0.2,81.88
Iris,PBNN,0.2,89.7585
Diabetes,PBNN,0.2,83.4878
Vehicle,PBNN,0.2,88.0935
Satellite,FP32,0.2,86.416
Spambase,FP32,0.2,82.3008
Yeast,FP32,0.2,79.1612
Iris,FP32,0.2,88.449
Diabetes,FP32,0.2,83.7631
Vehicle,FP32,0.2,84.4957
Satellite,BinaryNet,0.2,82.9977
Spambase,BinaryNet,0.2,79.7356
Yeast,BinaryNet,0.2,75.4148
Iris,BinaryNet,0.2,86.3628
Diabetes,BinaryNet,0.2,78.6949
Vehicle,BinaryNet,0.2,80.4622
Satellite,PBNN,0.23,87.4427
Spambase,PBNN,0.23,84.4948
Yeast,PBNN,0.23,82.9097
Iris,PBNN,0.23,91.7653
Diabetes,PBNN,0.23,84.1536
Vehicle,PBNN,0.23,87.644
Satellite,FP32,0.23,84.1119
Spambase,FP32,0.23,80.761
Yeast,FP32,0.23,78.8685
Iris,FP32,0.23,87.5811
Diabetes,FP32,0.23,79.4202
Vehicle,FP32,0.23,82.3977
Satellite,BinaryNet,0.23,81.0495
Spambase,BinaryNet,0.23,78.0438
Yeast,BinaryNet,0.23,76.0909
Iris,BinaryNet,0.23,86.3775
Diabetes,BinaryNet,0.23,76.8311
Vehicle,BinaryNet,0.23,80.7004
Satellite,PBNN,0.27,86.7195
Spambase,PBNN,0.27,84.2503
Yeast,PBNN,0.27,80.3661
Iris,PBNN,0.27,89.6488
Diabetes,PBNN,0.27,83.4788
Vehicle,PBNN,0.27,85.0752
Satellite,FP32,0.27,82.8664
Spambase,FP32,0.27,80.0098
Yeast,FP32,0.27,76.0588
Iris,FP32,0.27,85.0239
Diabetes,FP32,0.27,78.3886
Vehicle,FP32,0.27,81.7543
Satellite,BinaryNet,0.27,80.3507
Spambase,BinaryNet,0.27,76.568
Yeast,BinaryNet,0.27,73.6295
Iris,BinaryNet,0.27,83.6511
Diabetes,BinaryNet,0.27,74.8145
Vehicle,BinaryNet,0.27,78.8847
Satellite,PBNN,0.3,86.1699
Spambase,PBNN,0.3,84.5565
Yeast,PBNN,0.3,79.6894
Iris,PBNN,0.3,88.3561
Diabetes,PBNN,0.3,81.598
Vehicle,PBNN,0.3,85.2385
Satellite,FP32,0.3,81.8078
Spambase,FP32,0.3,78.2765
Yeast,FP32,0.3,75.7109
Iris,FP32,0.3,83.3708
Diabetes,FP32,0.3,77.7471
Vehicle,FP32,0.3,79.1312
Satellite,BinaryNet,0.3,78.0785
Spambase,BinaryNet,0.3,76.0379
Yeast,BinaryNet,0.3,71.5117
Iris,BinaryNet,0.3,81.3924
Diabetes,BinaryNet,0.3,75.605
Vehicle,BinaryNet,0.3,76.6385
